track_id,camera_id,vehicle_type,vehicle_color,plate_number,plate_hash,enter_time,exit_time,duration_sec,trajectory_length_m,avg_speed_ms,max_speed_ms,speed_variance,max_dwell_sec,stop_count,dwell_ratio,path_deviation,path_smoothness,is_night,night_ratio,freq_index,freq_count_24h,aggregation_index,nearest_vehicle_m,trajectory_points,anomaly_score,is_anomaly,alert_reason
6,cam01,car,unknown,,,,,1.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.1757,0,0.0,0.0,1,0.0,0.0,"968.1,190.2;967.3,185.3;965.3,185.0;964.0,185.7;964.0,186.8;964.5,186.7;964.0,187.1;963.1,187.2;962.2,186.4;961.2,185.8;960.2,185.7;959.4,185.8;957.8,185.1;956.4,185.4;956.4,186.7;956.5,186.3;955.9,187.0;954.9,185.9;954.1,187.4;953.0,188.9;953.1,191.5;952.9,190.1;952.7,187.2;952.1,185.3;951.7,185.5;952.1,186.9;951.7,185.5;951.2,184.1;950.1,182.8;949.8,182.8;948.9,183.8",0.0,0,
15,cam01,car,unknown,,,,,1.12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8534,0,0.0,0.0,1,0.0,0.0,"972.0,178.9;973.5,179.4;973.5,179.4;973.2,179.5;972.8,179.8;971.9,181.3;970.8,181.1;970.5,181.0;970.4,181.6;969.3,182.9;967.7,183.1;967.3,183.0;967.7,182.9;967.5,183.0;965.8,184.5;964.5,186.4;963.7,186.8;962.7,186.8;961.4,187.4;960.8,188.1;961.1,188.3;961.6,188.8;960.9,188.8;958.7,188.3;957.0,187.9;956.5,187.9;956.0,188.1;955.0,188.9;955.5,191.0",0.0,0,
255,cam01,car,unknown,,,,,0.56,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0653,0,0.0,0.0,1,0.0,0.0,"974.5,183.0;972.8,183.9;972.3,184.2;972.3,183.7;971.9,183.5;970.6,183.7;969.6,184.1;969.7,183.9;969.4,184.2;968.4,185.0;967.5,185.8;967.3,186.0;968.0,186.1;968.7,186.9;967.6,189.0",0.0,0,
